CourseName,Instructor,Term,CourseId,CourseKind,Credit,Major,SimplifiedMajor
名师导学,董昊,2025-2026-1,24000010,,2.0,"2024匡亚明学院英才计划（化学班）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）","匡计,计拔"
图形绘制技术,过洁,2024-2025-2,22011450,,2.0,2022计算机学院计算机科学与技术,计科
图论与算法,程龚,2024-2025-2,22010810,,2.0,"2023计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术","信计,计科"
基于强化学习的无人机群体智能导论,"汪亮,陶先平",2024-2025-2,22011750,,2.0,2022计算机学院计算机科学与技术,计科
多媒体技术,唐杰,2024-2025-2,22010220,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
大学物理,郭亚冲,2024-2025-2,24020011,,4.0,"2024生命科学学院生物科学（强基计划）,2024*理科试验班（化学与生命科学类）*化学与生命科学类,2024计算机学院信息与计算科学（强基计划）,2024匡亚明学院英才计划（生命科学班）,2024生命科学学院生物科学（强基计划）（生物数学交叉实验班）","信计,匡计"
大学物理实验（一）,"丁明慧,万建国,周惠君,张志勇,张雄祚,杨水仙,江洪建,游彪,潘永华,王寅龙,石荣章,郑之明,高惠滨,龚国斌",2024-2025-2,12000010A,,2.0,"2024生命科学学院生物科学（强基计划）,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（生命科学班）,2024匡亚明学院英才计划（化学班）","匡计,计拔"
大学物理实验（一）,"万建国,吴雪炜,周惠君,张志勇,李世民,江洪建,游彪,潘永华,王寅龙,郑之明,高惠滨,龚国斌",2025-2026-1,12000010A,,2.0,"2024计算机学院计算机科学与技术,2024计算机学院金融工程（计算机金融实验班）","计科,计金"
大学物理实验（一）,"万建国,周惠君,夏力钢,张志勇,杨跃涛,江洪建,游彪,潘永华,王寅龙,石荣章,郑之明,高惠滨,龚国斌",2023-2024-2,12000010A,,2.0,"2023匡亚明学院英才计划（生命科学班）,2023匡亚明学院英才计划（化学班）,2023匡亚明学院英才计划（天文）,2023匡亚明学院理科强化班,2023匡亚明学院英才计划（计算机班）","匡计,计拔"
大学物理实验（一）,"万建国,周惠君,李世民,江洪建,游彪,潘永华,王寅龙,郑之明,高惠滨,龚国斌",2024-2025-1,12000010A,,2.0,2023计算机学院计算机科学与技术,计科
大学物理（上）,"王骏,薛斌",2024-2025-2,24020010A,,4.0,"2024匡亚明学院英才计划（化学班）,2024地球科学与工程学院行星科学,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）","匡计,计拔"
大学物理（上）,肖明文,2024-2025-2,24020010A,,4.0,"2024匡亚明学院英才计划（化学班）,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）","匡计,计拔"
大学物理（下）,"曹庆琪,王骏",2025-2026-1,24020010B,,4.0,"2024生命科学学院生物科学类,2024地球科学与工程学院行星科学,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024天文与空间科学学院天文学类,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（化学班）","匡计,计拔"
大学物理（下）,肖明文,2025-2026-1,24020010B,,4.0,"2024生命科学学院生物科学类,2024地球科学与工程学院行星科学,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024天文与空间科学学院天文学类,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（化学班）","匡计,计拔"
大数据处理综合实验,余萍,2024-2025-2,22011410T,,5.0,2022计算机学院计算机科学与技术,计科
大数据处理综合实验,"朱光辉,黄宜华",2024-2025-2,22011410T,,5.0,2022计算机学院计算机科学与技术,计科
大数据处理综合实验,顾荣,2024-2025-2,22011410T,,5.0,2022计算机学院计算机科学与技术,计科
学术文献阅读与写作,"仲盛,张胜,程龚,钱柱中",2025-2026-1,22011710,,2.0,"2024匡亚明学院英才计划（计算机班）,2024计算机学院信息与计算科学（强基计划）,2024计算机学院计算机科学与技术","信计,计拔,计科"
学术文献阅读与写作,"张胜,王楚豫,程龚,钱柱中",2024-2025-1,22011710,,2.0,"2021计算机学院计算机科学与技术,2023计算机学院计算机科学与技术,2023计算机学院信息与计算科学（强基计划）,2022计算机学院信息与计算科学（强基计划）,2021计算机学院信息与计算科学（强基计划）,2023匡亚明学院英才计划（计算机班）,2022计算机学院计算机科学与技术","信计,计拔,计科"
密码学原理,张渊,2025-2026-1,22011140,,3.0,"2024计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）,2023匡亚明学院理科强化班","信计,匡计,计拔,计科"
嵌入式系统,陈鑫,2025-2026-1,22010320,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
并行程序设计实验,卢红敏,2025-2026-1,22011560T,,2.0,2022计算机学院计算机科学与技术,计科
形式语言与自动机,"卜磊,李宣东",2025-2026-1,22011120,,3.0,"2023匡亚明学院理科强化班,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）,2023计算机学院信息与计算科学（强基计划）,2023人工智能学院人工智能","信计,匡计,计拔,计科"
微电子与电路基础,司峻峰,2024-2025-1,18090030,,3.0,2024匡亚明学院英才计划（计算机班）,计拔
微积分I(第一层次),周国飞,2025-2026-1,00010011A,数学课,5.0,"2025计算机学院计算机科学与技术,2025计算机学院计算机科学与技术（拔尖计划）,2025计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
微积分I(第一层次),范红军,2024-2025-1,11100140A,,5.0,"2024生命科学学院生物科学（强基计划）,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（生命科学班）","匡计,计拔"
微积分I(第一层次),邱华,2024-2025-1,11100140A,,5.0,"2024生命科学学院生物科学（强基计划）,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（生命科学班）","匡计,计拔"
微积分I(第一层次),陆宏,2025-2026-1,00010011A,数学课,5.0,"2025计算机学院计算机科学与技术,2025计算机学院计算机科学与技术（至诚班）","至诚,计科"
微积分II(第一层次),周国飞,2024-2025-2,00010011B,数学课,5.0,"2024计算机学院信息与计算科学（强基计划）,2024计算机学院计算机科学与技术,2024计算机学院金融工程（计算机金融实验班）","信计,计科,计金"
微积分II(第一层次),范红军,2024-2025-2,11100140B,,5.0,"2024生命科学学院生物科学（强基计划）,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（生命科学班）","匡计,计拔"
微积分II(第一层次),谭亮,2023-2024-2,11100140B,,5.0,"2023生命科学学院生物科学（强基计划）,2023匡亚明学院英才计划（天文）,2023匡亚明学院理科强化班,2023匡亚明学院英才计划（计算机班）","匡计,计拔"
微积分II(第一层次),赵秋兰,2023-2024-2,00010011B,数学课,5.0,"2023计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术","信计,计科"
微积分II(第一层次),钱志,2024-2025-2,00010011B,数学课,5.0,"2024计算机学院信息与计算科学（强基计划）,2024计算机学院计算机科学与技术,2024计算机学院金融工程（计算机金融实验班）","信计,计科,计金"
微积分II(第一层次),顾庆松,2024-2025-2,11100140B,,5.0,"2024生命科学学院生物科学（强基计划）,2024天文与空间科学学院物理学（天体物理学方向）（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（生命科学班）","匡计,计拔"
控制理论与方法,章宗长,2024-2025-1,30000250,,2.0,"2022人工智能学院人工智能,2021计算机学院信息与计算科学（强基计划）",信计
操作系统,华景煜,2024-2025-2,22020230,,4.0,"2023匡亚明学院英才计划（计算机班）,2023计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）,2022计算机学院金融工程（计算机金融实验班）,2023匡亚明学院理科强化班","信计,匡计,计拔,计科,计金"
操作系统,叶保留,2024-2025-2,22020230,,4.0,"2023匡亚明学院英才计划（计算机班）,2023计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）,2022计算机学院金融工程（计算机金融实验班）,2023匡亚明学院理科强化班","信计,匡计,计拔,计科,计金"
操作系统,吴化尧,2025-2026-1,22020230,,4.0,2023计算机学院计算机科学与技术,计科
操作系统,徐锋,2024-2025-2,22020230,,4.0,"2023匡亚明学院英才计划（计算机班）,2023计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）,2022计算机学院金融工程（计算机金融实验班）,2023匡亚明学院理科强化班","信计,匡计,计拔,计科,计金"
操作系统,蒋炎岩,2024-2025-2,22020230,,4.0,"2023匡亚明学院英才计划（计算机班）,2023计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）,2022计算机学院金融工程（计算机金融实验班）,2023匡亚明学院理科强化班","信计,匡计,计拔,计科,计金"
数字逻辑与计算机组成,吴海军,2024-2025-2,22000160,,4.0,"2024匡亚明学院英才计划（计算机班）,2024匡亚明学院理科强化班","匡计,计拔"
数字逻辑与计算机组成,周嵩,2024-2025-2,22000160,,4.0,2024计算机学院计算机科学与技术,计科
数字逻辑与计算机组成,李俊,2024-2025-2,22000160,,4.0,2024计算机学院计算机科学与技术,计科
数字逻辑与计算机组成,杨若瑜,2025-2026-1,22000160,,4.0,"2024计算机学院计算机科学与技术,2023工程管理学院金融工程（计算机金融实验班）,2023计算机学院信息与计算科学（强基计划）","信计,计科"
数字逻辑与计算机组成实验,吴海军,2024-2025-1,22000180T,,3.0,"2023匡亚明学院英才计划（计算机班）,2023计算机学院计算机科学与技术,2023匡亚明学院理科强化班","匡计,计拔,计科"
数字逻辑与计算机组成实验,"吴海军,周嵩",2024-2025-2,22000180T,,3.0,"2022计算机学院金融工程（计算机金融实验班）,2022计算机学院信息与计算科学（强基计划）","信计,计金"
数字逻辑与计算机组成实验,"李婷,王炜",2025-2026-1,22000180T,,3.0,"2024匡亚明学院英才计划（计算机班）,2024匡亚明学院理科强化班,2024计算机学院计算机科学与技术","匡计,计拔,计科"
数字逻辑与计算机组成实验,王炜,2024-2025-1,22000180T,,3.0,"2023匡亚明学院英才计划（计算机班）,2023计算机学院计算机科学与技术,2023匡亚明学院理科强化班","匡计,计拔,计科"
数学分析（一）,范红军,2024-2025-1,30000010A,,5.0,"2024计算机学院信息与计算科学（强基计划）,2024人工智能学院人工智能",信计
数学分析（二）,"卓汉逵,范红军",2024-2025-2,30000010B,,5.0,"2024计算机学院信息与计算科学（强基计划）,2024人工智能学院人工智能",信计
数学分析（二）,范红军,2023-2024-2,30000010B,,5.0,"2023人工智能学院人工智能,2023计算机学院信息与计算科学（强基计划）",信计
数据库概论,张剡,2025-2026-1,22020250,,3.0,"2023计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术","信计,计科"
数据库概论,柏文阳,2025-2026-1,22020250,,3.0,"2023匡亚明学院理科强化班,2023计算机学院计算机科学与技术（拔尖计划）","匡计,计拔"
数据库概论,胡伟,2025-2026-1,22020250,,3.0,"2023计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术","信计,计科"
数据挖掘导论,TINGKAIMING,2024-2025-2,22010230,,2.0,"2022计算机学院计算机科学与技术,2022数学学院应用模块（统计方向）,2022数学学院应用模块（计算方向）,2022匡亚明学院理科强化班,2022数学学院信息与计算科学,2022数学学院数学与应用数学,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）,2022数学学院应用模块（基础方向）,2022数学学院统计学,2022数学学院数学与应用数学（强基计划）","信计,匡计,计拔,计科"
数据结构,刘佳,2025-2026-1,22010020,,4.0,2024计算机学院计算机科学与技术,计科
数据结构,商琳,2025-2026-1,22010020,,4.0,2024计算机学院计算机科学与技术,计科
数据结构,"姜远,时清凯",2024-2025-2,22010020,,4.0,2023计算机学院计算机科学与技术,计科
数据结构,"李武军,王楚豫",2024-2025-1,22010020,,4.0,2023计算机学院计算机科学与技术,计科
数据结构,"王楚豫,许蕾",2024-2025-1,22010020,,4.0,2023计算机学院计算机科学与技术,计科
数据结构,许蕾,2025-2026-1,22010020,,4.0,2024计算机学院计算机科学与技术,计科
数据结构,赵建华,2025-2026-1,22010020,,4.0,2024计算机学院信息与计算科学（强基计划）,信计
数据通信,王晓亮,2024-2025-2,22010580,,2.0,"2022计算机学院计算机科学与技术（拔尖计划）,2023计算机学院计算机科学与技术,2022匡亚明学院理科强化班,2023计算机学院信息与计算科学（强基计划）","信计,匡计,计拔,计科"
数理逻辑,秦逸,2024-2025-2,22010200,,3.0,"2023匡亚明学院英才计划（计算机班）,2023计算机学院计算机科学与技术,2023计算机学院信息与计算科学（强基计划）,2023匡亚明学院理科强化班","信计,匡计,计拔,计科"
普通物理（上）,于葛亮,2023-2024-2,12000014A,,3.0,2023计算机学院计算机科学与技术,计科
普通物理（上）,张建,2024-2025-2,12000014A,,3.0,2024计算机学院计算机科学与技术,计科
智能应用开发,徐经纬,2025-2026-1,22011800,,2.0,2023计算机学院计算机科学与技术,计科
智能应用开发,"徐经纬,曹春",2024-2025-1,22011800,,2.0,2022计算机学院计算机科学与技术,计科
智能计算系统,朱光辉,2025-2026-1,22011670,,3.0,2023计算机学院计算机科学与技术,计科
智能软件工程导论,"姚远,马晓星",2025-2026-1,22011777G,,2.0,2022计算机学院计算机科学与技术,计科
最优化方法导论,张利军,2025-2026-1,30000120,,2.0,"2024计算机学院信息与计算科学（强基计划）,2024人工智能学院人工智能",信计
机器学习导论,叶翰嘉,2025-2026-1,22011430,,2.0,"2022计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2023工程管理学院金融工程（计算机金融实验班）,2022计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
机器学习新进展,"李文斌,霍静",2024-2025-1,22011740,,2.0,2021计算机学院计算机科学与技术,计科
机器翻译和自然语言生成,黄书剑,2024-2025-2,22011730,,2.0,2022计算机学院计算机科学与技术,计科
概率论与数理统计,傅冬生,2024-2025-1,11100200,数学课,3.0,2023计算机学院计算机科学与技术,计科
概率论与数理统计,"刘景铖,尹一通",2024-2025-2,22020170,,3.0,"2023匡亚明学院英才计划（计算机班）,2023匡亚明学院理科强化班","匡计,计拔"
概率论与数理统计,陶敏,2025-2026-1,11100200,数学课,3.0,"2024计算机学院计算机科学与技术,2024地球科学与工程学院地质学类",计科
物联网技术导论,谢磊,2025-2026-1,22011580,,2.0,"2022计算机学院计算机科学与技术,2023计算机学院信息与计算科学（强基计划）,2022计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
离散数学,"仲盛,姚鹏晖,张渊",2024-2025-2,22040000I,,5.0,"2024计算机学院信息与计算科学（强基计划）,2024软件学院软件工程",信计
离散数学,史颖欢,2024-2025-2,22000020,,5.0,"2024计算机学院计算机科学与技术,2024计算机学院金融工程（计算机金融实验班）","计科,计金"
离散数学,吴楠,2024-2025-2,22000020,,5.0,"2024计算机学院计算机科学与技术,2024计算机学院金融工程（计算机金融实验班）","计科,计金"
离散数学,姚远,2025-2026-1,22000020,,5.0,2024计算机学院计算机科学与技术,计科
离散数学,瞿裕忠,2024-2025-2,22000020,,5.0,"2024计算机学院计算机科学与技术,2024计算机学院金融工程（计算机金融实验班）","计科,计金"
离散数学,黄棱潇,2024-2025-2,22000020,,5.0,"2024计算机学院计算机科学与技术,2024计算机学院金融工程（计算机金融实验班）","计科,计金"
程序设计基础,刘奇志,2025-2026-1,22000010,,3.0,"2025计算机学院计算机科学与技术,2025工程管理学院计算机科学与技术（计算机金融实验班）",计科
程序设计基础,孙泽群,2025-2026-1,22000010,,3.0,"2025计算机学院计算机科学与技术,2025工程管理学院计算机科学与技术（计算机金融实验班）",计科
程序设计基础,"李元琪,过洁",2025-2026-1,22000010,,3.0,"2025计算机学院计算机科学与技术,2025工程管理学院计算机科学与技术（计算机金融实验班）",计科
程序设计基础,过洁,2023-2024-2,22000010,,3.0,"2023匡亚明学院理科强化班,2023计算机学院计算机科学与技术,2023匡亚明学院英才计划（化学班）,2023匡亚明学院英才计划（天文）","匡计,计科"
程序设计基础,郭延文,2024-2025-1,22000010,,3.0,"2024计算机学院金融工程（计算机金融实验班）,2024计算机学院计算机科学与技术","计科,计金"
程序设计基础,黄书剑,2024-2025-1,22000010,,3.0,"2024计算机学院金融工程（计算机金融实验班）,2024计算机学院计算机科学与技术","计科,计金"
程序设计语言的形式语义,梁红瑾,2025-2026-1,22011510,,2.0,"2022计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
程序设计语言的解释器与虚拟机,时清凯,2024-2025-2,22011820,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
算法设计与分析,张胜,2024-2025-2,22010030,,4.0,"2023工程管理学院金融工程（计算机金融实验班）,2023计算机学院计算机科学与技术",计科
算法设计与分析,徐经纬,2024-2025-2,22010030,,4.0,"2023工程管理学院金融工程（计算机金融实验班）,2023计算机学院计算机科学与技术",计科
算法设计与分析,栗师,2024-2025-2,22010030,,4.0,2023计算机学院信息与计算科学（强基计划）,信计
算法设计与分析,"赵建华,郑朝栋",2024-2025-1,22010030,,4.0,2022计算机学院计算机科学与技术,计科
算法设计与分析,郑朝栋,2025-2026-1,22010030,,4.0,2023计算机学院计算机科学与技术,计科
算法设计与分析,黄宇,2024-2025-2,22010030,,4.0,"2023工程管理学院金融工程（计算机金融实验班）,2023计算机学院计算机科学与技术",计科
线性代数(第一层次),曹立元,2025-2026-1,00010011C,数学课,4.0,"2025计算机学院计算机科学与技术,2025计算机学院计算机科学与技术（至诚班）,2025计算机学院计算机科学与技术（拔尖计划）,2025计算机学院信息与计算科学（强基计划）","信计,至诚,计拔,计科"
线性代数(第一层次),汪正方,2025-2026-1,00010011C,数学课,4.0,2025计算机学院计算机科学与技术,计科
线性代数(第一层次),陈秦波,2024-2025-1,00010011C,数学课,4.0,2024计算机学院计算机科学与技术,计科
线性代数(第一层次),顾庆松,2024-2025-1,11100140C,,4.0,"2024生命科学学院生物科学（强基计划）,2024匡亚明学院英才计划（天文）,2024匡亚明学院理科强化班,2024匡亚明学院英才计划（计算机班）,2024匡亚明学院英才计划（生命科学班）","匡计,计拔"
组合数学,尹一通,2024-2025-2,22010240,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）,2022人工智能学院人工智能","信计,计拔,计科"
编码理论,林冰凯,2024-2025-2,22011763C,,2.0,2022计算机学院计算机科学与技术,计科
编译原理,冯洋,2023-2024-2,22020260,,4.0,"2021匡亚明学院理科强化班,2021计算机学院计算机科学与技术（拔尖计划）","匡计,计拔"
编译原理,"冯洋,徐宝文",2025-2026-1,22020260,,4.0,2023计算机学院计算机科学与技术,计科
编译原理,许畅,2024-2025-2,22020260,,4.0,"2022计算机学院计算机科学与技术,2022计算机学院信息与计算科学（强基计划）","信计,计科"
编译原理,谭添,2024-2025-2,22020260,,4.0,"2022计算机学院计算机科学与技术（拔尖计划）,2022匡亚明学院理科强化班","匡计,计拔"
编译原理,陈林,2024-2025-1,22020260,,4.0,2022计算机学院计算机科学与技术,计科
网络安全与检测技术,仝伟,2024-2025-1,22011170,,3.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
网络安全实验,吴迎红,2025-2026-1,22010790,,2.0,"2024计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）,2023计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
网络应用开发技术,卢红敏,2024-2025-2,22010830,,2.0,"2022计算机学院计算机科学与技术,2023生命科学学院生物科学（强基计划）（生物数学交叉实验班）,2023生命科学学院生物科学（强基计划）,2023匡亚明学院英才计划（生命科学班）,2023生命科学学院生物科学类","匡计,计科"
网络攻防实战,陈健,2025-2026-1,22011470T,,2.0,2024计算机学院计算机科学与技术,计科
网络空间安全与隐私保护,"吴昊,许封元",2025-2026-1,22011500I,,2.0,"2022计算机学院计算机科学与技术（拔尖计划）,2023计算机学院计算机科学与技术,2023计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
自主移动机器人导论,陈力军,2024-2025-1,22011810,,2.0,2022计算机学院计算机科学与技术,计科
计算复杂性,姚鹏晖,2024-2025-2,22011480,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
计算方法,刘景铖,2024-2025-2,22010500,,2.0,"2023匡亚明学院理科强化班,2023计算机学院计算机科学与技术,2023计算机学院信息与计算科学（强基计划）","信计,匡计,计科"
计算方法,"李元琪,过洁",2024-2025-1,22010500,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）","计拔,计科"
计算机体系结构,王炜,2024-2025-2,22011180,,3.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）,2022人工智能学院人工智能","信计,计拔,计科"
计算机图形学,孙正兴,2024-2025-2,22020360,,3.0,"2022计算机学院计算机科学与技术（拔尖计划）,2022匡亚明学院理科强化班,2023计算机学院信息与计算科学（强基计划）","信计,匡计,计拔"
计算机图形学,"孙正兴,张岩",2025-2026-1,22020360,,3.0,2023计算机学院计算机科学与技术,计科
计算机数学建模,周毓明,2025-2026-1,22010540,,2.0,"2023人工智能学院人工智能,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）,2023计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
计算机程序的构造和解释,"冯新宇,李樾",2025-2026-1,22000130,,3.0,2025计算机学院计算机科学与技术,计科
计算机程序设计语言,张天,2024-2025-2,22010510,,2.0,"2022计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）,2022计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
计算机系统基础,"刘杰,唐杰",2025-2026-1,22000100,,5.0,"2024计算机学院计算机科学与技术,2024计算机学院信息与计算科学（强基计划）","信计,计科"
计算机系统基础,"刘杰,朱光辉",2025-2026-1,22000100,,5.0,"2024匡亚明学院英才计划（计算机班）,2024匡亚明学院理科强化班","匡计,计拔"
计算机系统基础,"唐杰,汪亮,苏丰",2024-2025-2,22000100,,5.0,2023计算机学院计算机科学与技术,计科
计算机系统基础,"戴海鹏,汪亮",2025-2026-1,22000100,,5.0,"2024计算机学院计算机科学与技术,2024计算机学院信息与计算科学（强基计划）","信计,计科"
计算机系统基础,"汪亮,苏丰",2025-2026-1,22000100,,5.0,"2024计算机学院计算机科学与技术,2024计算机学院信息与计算科学（强基计划）","信计,计科"
计算机系统设计综合实验,"仲盛,华景煜,吴昊",2024-2025-2,22011400T,,5.0,2022计算机学院计算机科学与技术,计科
计算机网络,张渊,2025-2026-1,22020240I,,4.0,"2023计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2023计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
计算机网络,李文中,2024-2025-2,22010050,,4.0,"2023工程管理学院金融工程（计算机金融实验班）,2023计算机学院计算机科学与技术",计科
计算机网络,田臣,2024-2025-2,22010050,,4.0,"2023工程管理学院金融工程（计算机金融实验班）,2023计算机学院计算机科学与技术",计科
计算机网络,郑嘉琦,2024-2025-2,22010050,,4.0,"2023工程管理学院金融工程（计算机金融实验班）,2023计算机学院计算机科学与技术",计科
计算机网络,顾庆,2024-2025-2,22020240,,3.0,"2023匡亚明学院英才计划（计算机班）,2023匡亚明学院理科强化班","匡计,计拔"
计算机网络,黄程远,2025-2026-1,22010050,,4.0,2023计算机学院计算机科学与技术,计科
计算机网络协议开发,曹培睿,2025-2026-1,22011390,,2.0,2023计算机学院计算机科学与技术,计科
计算机网络协议开发,陈健,2023-2024-2,22011390,,2.0,2021计算机学院计算机科学与技术,计科
计算机视觉表征与识别,王利民,2024-2025-2,22011530,,2.0,2022计算机学院计算机科学与技术,计科
软件产业概论,谢俊元,2024-2025-2,22010980,,2.0,"2022计算机学院信息与计算科学（强基计划）,2023计算机学院计算机科学与技术,2022计算机学院计算机科学与技术（拔尖计划）","信计,计拔,计科"
软件体系结构,曹春,2024-2025-2,22010330,,2.0,"2022计算机学院计算机科学与技术,2021计算机学院计算机科学与技术（拔尖计划）,2021计算机学院信息与计算科学（强基计划）","信计,计拔,计科"
软件分析,"李樾,谭添",2025-2026-1,22011620,,2.0,"2023计算机学院计算机科学与技术（拔尖计划）,2023计算机学院计算机科学与技术","计拔,计科"
软件安全,茅兵,2025-2026-1,22011320,,2.0,2022计算机学院计算机科学与技术,计科
